tweets_id,text,author_id,username,user_created_time,user_location,user_name,user_description,geo_place_id,geo_country_code,geo_place_type,geo_full_name,geo_bbox,geo_country,geo_name,date
812104909856342016,Ho! Ho! Ho! Merry Christmas Everyone! Donald Trump is getting you some New Nukes for under your tree. 🎄🎁 💣 #maga #Trump #Crazy #AF https://t.co/3Z3fHUX2j5,17601922,NickLongo,2008-11-24T21:35:11.000Z,"Corpus Christi, Texas",Nick Longo 👁‍🗨,Entrepreneur. Strategic Business and Marketing Advisor. Mentor. Co-Founder of @Geekdom. Founder @CoffeeCup Software. Dad of 2 Awesome Daughters.,a3d770a00f15bcb1,US,city,"Corpus Christi, TX","[-97.662618, 27.578509, -97.202232, 27.895793]",Etats-Unis,Corpus Christi,2016-12-23
812104904491892736,"Trump is a child of the Cold War. Emphasis on ""child"". https://t.co/a053RjSGPN",2889924959,TrueFactsStated,2014-11-23T23:31:32.000Z,DC and on the road. ,Claude Taylor,Chair of Mad Dog Pac. Worked in Clinton White House. Still has Hope. Will rate your room and wrote a book about it. https://t.co/r3djG9hjvl,bb7522409d41c300,US,city,"Takoma Park, MD","[-77.022864, 38.96569, -76.9847886, 38.9982088]",Etats-Unis,Takoma Park,2016-12-23
812104894253563905,@Lib_Librarian @chilepeppermama @chrislhayes Trump's ties and ivankas shoes will cost more,190799144,farrarpjoy,2010-09-14T21:34:17.000Z,"Long Beach, CA",Pjoyfarrar🌊🌊,social worker Dave Grohls soul mate..No he doesn’t have a clue. MY PRESIDENT BARACK OBAMA!#MakeChesterProud,00ab941b685334e3,US,city,"Nashville, TN","[-87.022482, 35.9945681, -86.560616, 36.405448]",Etats-Unis,Nashville,2016-12-23
812104877035945984,"@The_Trump_Train @nancyleegrahn is bragging about vandalizing Ivanka shoes displayed at Macy's. She made a video of it &amp; giving ""the finger""",437066951,TamTamHomerstad,2011-12-14T23:45:02.000Z,Texas,Tammy Tomek-Homerstad,"Wife, Mother, Nana. Lupus/Sjogrens/Diabetes Warrior. Old Hippie.  SPNFan.  I wish Sam, Dean, Cass and Crowley could fix this messed up world",a0b47ebc53eb0e63,US,city,"Waco, TX","[-97.26899, 31.45507, -97.069323, 31.639828]",Etats-Unis,Waco,2016-12-23
812104865539358723,@meakoopa Will never pass. Cheney's daughter was gay. Trump is a New Yorker &amp; his amazing publicist is a gay Christian man.DJT is pro Lgbt.,107517298,TonjaWalker,2010-01-22T20:51:50.000Z,"Palm Desert, CA",Tonja Walker,"Emmy Nom.Actress,best known as Alex OLTL Olivia Jerome GH.Proud Mom, Producer of The Derby Stallion. My RT are not endorsements,often tweets are info only.",01205ca7701fe20e,US,city,"Fairfield, CT","[-73.338573, 41.117308, -73.21772, 41.231989]",Etats-Unis,Fairfield,2016-12-23
812104825924034560,"@nyinvesting @ScottPresler @cmroberts1028 How about ""Get that baby outta here"" Trump?",89533742,CKscullycat,2009-11-12T20:34:20.000Z,Southern California,Two For Joy,#Equality #LGBTQ #BLM #Dodgers Stoner. Atheist. Introvert. Lifetime Liberal. Music fanatic. Film buff. Constant reader. Friend to animals. Happily married 🚫DMs,4db990e393c2e28b,US,city,"La Mirada, CA","[-118.037975, 33.873395, -117.976352, 33.928407]",Etats-Unis,La Mirada,2016-12-23
812104753949900803,I predict Paul Ryan is biding his time waiting for Trump to be impeached so he can step in as VP then run for POTUS in 20.,71066469,ACaryGrantFan,2009-09-02T20:26:13.000Z,"OKC,USA",Page,"RN, blogger, political junkie on a tear. Check out my blog https://t.co/ThrwPvCqeX A fan of Grant, Novarro, golf and true crime.",62ff27569714ddb3,US,city,"Edmond, OK","[-97.557572, 35.606823, -97.35391, 35.7836212]",Etats-Unis,Edmond,2016-12-23
812104747897393152,@SNNTV trump supporter,799456741960413184,lLukeRhodes,2016-11-18T03:38:35.000Z,,Luke Rhodes,@LukeRhodes,5acc3a887617d093,US,city,"Sarasota, FL","[-82.588866, 27.293114, -82.477281, 27.389129]",Etats-Unis,Sarasota,2016-12-23
812104746664390657,@TeaPainUSA And he spells it Merica Maybe Santa needs to leave him and Trump a dictionary,414427835,jay_jensen2,2011-11-17T01:36:30.000Z,Between Florida and Bimini,jay jensen,Never a dull moment,778af41ffb719450,US,city,"Coral Gables, FL","[-80.297165, 25.627038, -80.245009, 25.771859]",Etats-Unis,Coral Gables,2016-12-23
812104702112526336,"trump say he's gonna increase our nukes, it's probably nothing just horsing around, kellyanne represents evil I see it in her, look close!!",770620025111576577,curtis4197,2016-08-30T13:51:46.000Z,,curtispennington554@,,1703b859c254a0f9,US,city,"College Park, GA","[-84.5129821, 33.5933183, -84.427795, 33.669237]",Etats-Unis,College Park,2016-12-23
