tweets_id,text,author_id,username,user_created_time,user_location,user_name,user_description,geo_place_id,geo_country_code,geo_place_type,geo_full_name,geo_bbox,geo_country,geo_name,date
1340492306504318976,@charliekirk11 Better question;  What does Putin have on Trump?,38023296,scottjblair,2009-05-05T21:19:26.000Z,United States,concede2020,,3d533362cdab8107,US,city,"Irvine, CA","[-117.86894, 33.606077, -117.695781, 33.773387]",Etats-Unis,Irvine,2020-12-20
1340492289030975490,I really hope that Twitter finally suspends Trump’s account after Biden’s inauguration. No one should be able to spread so much misinformation without consequences. #ByeDon,43640713,lydiafhall,2009-05-31T04:25:15.000Z,"Washington, D.C.",Lydia Hall ❄️🌊,"Political nerd, feminist, proud Tufts & Columbia alum, ed/health policy/TV enthusiast, writer/editor/consultant. #stillwithher #resist Views mine. She/her.",01fbe706f872cb32,US,city,"Washington, DC","[-77.119401, 38.801826, -76.909396, 38.9953797]",Etats-Unis,Washington,2020-12-20
1340492264502652929,@ugabarstool Wow go let somebody steal an election already no Georgia team will ever win Anything,2188738014,carroll1_ralph,2013-11-11T17:20:26.000Z,Straight outta ATL,🍀RW🍀,I don’t think you’re applying yourself Smokey,276336654aa4f87a,US,city,"Lafayette, LA","[-92.158649, 30.115967, -91.963704, 30.2961909]",Etats-Unis,Lafayette,2020-12-20
1340492263068028928,What's the story about Marshal law Flynn initiated for Trump to use on election?,1180379113283932160,Tufui3Tufui,2019-10-05T07:08:32.000Z,,Cecily Tufui,,b9da7881046990df,US,city,"East Palo Alto, CA","[-122.156222, 37.451829, -122.115942, 37.4841685]",Etats-Unis,East Palo Alto,2020-12-20
1340492241178161152,"@JaxLeSigh @dbongino Name the source and have them testify, just like what is happening with Biden. What about that? Anyone could have a unnamed source say anything about anyone, could happen to you.",4873035579,kat1119unc,2016-02-03T02:28:23.000Z,,Kathi Shroyer Shealey,,6057f1e35bcc6c20,US,admin,"South Carolina, USA","[-83.353955, 32.04683, -78.499301, 35.215449]",Etats-Unis,South Carolina,2020-12-20
1340492231673823239,Moscow Mitch. Is a real Son Of A Bitch. If he really wanted to help Americans. He would've passed the Hero Act months ago and stopped Trump from holding maskless rallies. And Mitch would've passed a much larger bill than the one he just negotiated. There's no fool like an old one https://t.co/aj9wsdNopl,1220147439480516609,jamestuckerbea1,2020-01-23T00:53:26.000Z,,james tucker,,00221a12113d93c6,US,city,"Shakopee, MN","[-93.582038, 44.752728, -93.398642, 44.804724]",Etats-Unis,Shakopee,2020-12-20
1340492231019532290,"@JRubinBlogger @smilingoutloud2 He’s looking for Trump voters to help him , that’s all .",2176046582,mikelm31,2013-11-05T13:07:14.000Z,Ky. New Concord,Michael Manlove,"Retired ,Cancer survivor , fishing , and the Beauty of Ky.,Three years in Marines during Vietnam War, Thirty years at GM , Resist, Happily Married",6ffcf3b0b904bbcb,US,admin,"Kentucky, USA","[-89.57151, 36.497129, -81.964971, 39.147359]",Etats-Unis,Kentucky,2020-12-20
1340492214401679360,Trump is a TRAITOR https://t.co/cTVILkCkke,767010325552128005,JUANLAUGHINGATU,2016-08-20T14:48:07.000Z,New Jersey,NUMBER JUAN 🇵🇷🇺🇸,"I believe anything lost can be found
 except wasted time ..",001f79723d2f975e,US,city,"White Horse, NJ","[-74.749703, 40.1482235, -74.6606509, 40.2200089]",Etats-Unis,White Horse,2020-12-20
1340492177437151233,One thing for sure Trump has found out who his true friends are and who respects the constitution and rule of law. Those exposed are John Robert’s and most chicken harted Republicans. They are terrified he will be successful in securing a 2nd term.,1169977748128817153,DonaldS83027032,2019-09-06T14:17:12.000Z,Califonia,Donald Shepherd,"Experienced contractor. Hobbies include: motorcycle riding, raising free-thinking grandchildren, and defunding the radical left. #Trump 🔥MAGA",20ba6fb3b1ee82da,US,city,"Orange, CA","[-117.904717, 33.77319, -117.743381, 33.847128]",Etats-Unis,Orange,2020-12-20
1340492149423521792,@StewartLopez14 @MSNBC Trump LOST money since he was elected. He didn’t take a salary - thats $1.8 million he could have had but donated it.,16478261,TeriCBrownUGA,2008-09-27T00:50:36.000Z,USA,Teri Cooper Brown,"GT Ed 21 yrs; Freelance writer; Published in WaPo; Duke Univ GT Journal; Family Fun; Weekly Reader, etc. Co-author Play, Think & Grow, Abingdon Press.",7142eb97ae21e839,US,admin,"Georgia, USA","[-85.605166, 30.355644, -80.742567, 35.000771]",Etats-Unis,Georgia,2020-12-20
1340492137557860352,"@realDonaldTrump TRUMP LOST THE ELECTION, THANK GOODNESS!!!!!",789972151134806016,HCarolewheeler,2016-10-22T23:30:12.000Z,,Gemmacat,"I love to read, especially history. l have a BA in history because of that.",5b868b24196407ea,US,city,"Warren, PA","[-79.190437, 41.822583, -79.111609, 41.865057]",Etats-Unis,Warren,2020-12-20
1340492128313626625,Amazing!! Trump saving the world! https://t.co/OLC2Msz8dx,783506734887399424,bso62,2016-10-05T03:18:57.000Z,"Illinois, USA",Beth 🇺🇸 🙏💕🍊🍊,Livelovefreedom!,d50345354159b16c,US,city,"Lake Forest, IL","[-87.942895, 42.200288, -87.8071953, 42.280041]",Etats-Unis,Lake Forest,2020-12-20
1340492032700116992,@equalearthling @michaelbeatty3 @SidneyPowell1 @realDonaldTrump @LLinWood @GenFlynn That’s a lie ! Why don’t you watch and read about Biden family’s corruption https://t.co/8MxszjtsuC,82811987,adb1210,2009-10-16T06:00:43.000Z,"San Francisco, CA",✥✸✧✸✥ Adalia(✿◠‿◠),❤️I love natures ⛰TraveL🛩my Family👨‍👩‍👧‍👧 gardener💐🍃love to cook🍣🧁Music🎼🎤perfume🍾🐎love all animal🐩🦋🐓God is great🙏 Be kind & stay safe folks 🙏,5ecbd073f39c00fa,US,city,"Hayward, CA","[-122.160814, 37.592632, -122.010737, 37.689909]",Etats-Unis,Hayward,2020-12-20
1340491964559581184,@Socialiberalist @GOPChairwoman I am in support 100%. We should take our election back from cheating thieves who stole it fraudulently,2608741705,Wen_Porch,2014-07-07T02:06:36.000Z,"Indianapolis, IN",Wendy Porch,Bulls Nation | KC Chiefs | Trainer of MWDogs & Marine Dog Handlers | PROUD Daughter of Vietnam Vet | #MAGA IFB Trumpsters | ❌DM's | No VAX,5e7c11acce63506a,US,city,"Greenfield, IN","[-85.830451, 39.7427, -85.726818, 39.828811]",Etats-Unis,Greenfield,2020-12-20
1340491959018921990,"*watching Charlie and the Chocolate Factory*
Mark: ""Charlie us probably a trump supporter now 🙄"" 😂😂😂",3172639107,2ekait,2015-04-16T12:44:11.000Z,"Milpitas, CA",Lady Kait,"Thoughts of a Kait

*heart shared with a Mark*",01a9a39529b27f36,US,city,"Manhattan, NY","[-74.026675, 40.683935, -73.910408, 40.877483]",Etats-Unis,Manhattan,2020-12-20
1340491880870645760,"@BrendanNyhan If Trump attempts a takeover,  can he be arrested? Or at least be restricted to his quarters?",996761821544701952,MargieMinutell3,2018-05-16T14:38:32.000Z,"Georgia, USA",,"Wife, Mother,Grandmother, Artist, and a fervent Patriot.",7142eb97ae21e839,US,admin,"Georgia, USA","[-85.605166, 30.355644, -80.742567, 35.000771]",Etats-Unis,Georgia,2020-12-20
1340491842098405376,"WTH⁉️ trump’s definitely working for #Russia ~ so NOT good folks‼️👎😱🤬
Tonight, trump blatantly contradicted his best WH bud #Pompeo‼️🤪😡😫 https://t.co/5kHB6xvbLO",21784241,kimasabe,2009-02-24T19:12:12.000Z,"L.A. now~b4: San Gabriel, CA⛪️","🛸Kim, L.A.♻️🚭💀🖖👽📚","Native Angeleno 💜:#PBS, #UK, #JaneAusten, #Literature 🎬: NatlScreen film posters 9yrs #FAB4,#TREK🖖 #BSB+Legal exp.+#LAPD Dad🙏~unable 2follow more now😰",3b77caf94bfc81fe,US,city,"Los Angeles, CA","[-118.668404, 33.704538, -118.155409, 34.337041]",Etats-Unis,Los Angeles,2020-12-20
1340491802042875904,Trump is a traitor and a #LoserInChief https://t.co/ouW5xqsXBN,490916933,Michelle_IC,2012-02-13T01:53:18.000Z,"Maryland, USA",Mich Soca,"US Army Veteran! Proud #UKYLaw & #FSU grad ~ Civil rights is not a hobby, it's my passion & Caribbean Carnival chaser is my release",01fbe706f872cb32,US,city,"Washington, DC","[-77.119401, 38.801826, -76.909396, 38.9953797]",Etats-Unis,Washington,2020-12-20
1340491787073245184,"@lisareid11 @senatemajldr Trump lost as did all those court cases, 59 of them.",1220146326387580928,LittleMariposa,2020-01-23T00:49:20.000Z,,Little Mariposa 🇺🇸,"educator, mountain lover, snorkeler, wife, grandmother, Colorado native",e21c8e4914eef2b3,US,admin,"Colorado, USA","[-109.060257, 36.992427, -102.041524, 41.003445]",Etats-Unis,Colorado,2020-12-20
1340491780018429952,Trump supporters are fighting to save the world from corruption and tyranny  https://t.co/NHAIThA8oE,36313065,cory_ida,2009-04-29T07:45:18.000Z,Oahu,coRy ida,Building communities through media.,afdda35f375f55ae,US,city,"Kaneohe, HI","[-157.8309972, 21.3850908, -157.760186, 21.428755]",Etats-Unis,Kaneohe,2020-12-20
1340491729993121792,@MrAznEric Yes absolutely and continuing to pray for him too because he definitely won this election by a long ways!,874619323159019520,OhioPicTaker,2017-06-13T13:27:51.000Z,"Ohio, USA",Belinda Wilson,Very thankful to be a Christian! Love the legendary Oak Ridge Boys! #1Ohio fan! Love my cat Clarise too!,00c5facd49356aae,US,city,"Washington Court House, OH","[-83.475958, 39.514026, -83.396837, 39.575259]",Etats-Unis,Washington Court House,2020-12-20
1340491686816980992,Trump 2020,72552649,toastybit,2009-09-08T13:32:47.000Z,"Georgia, USA",SandyLayne,sandy b flowers ~ trump supporter ~ truth will set you free,4ec01c9dbc693497,US,admin,"Florida, USA","[-87.634643, 24.396308, -79.974307, 31.001056]",Etats-Unis,Florida,2020-12-20
1340491675651563520,"@HOD12487695 @ZimerickArt @IdleSloth84 Removed it 👍🏾

I was replying to the dude that made the false claim that Trump was the first POTUS not to have a new war during his term",1251411316121583622,InfamousLiberal,2020-04-18T07:25:22.000Z,"San Francisco, CA",InfamousLiberalGamer 🐲🎮,"Founder & Administrator of Liberal Gamer Giveaways, Xbox Club: The Console Warlords & Cross Platform Warriors (💰-🏆 Competitive Tourneys)",5a110d312052166f,US,city,"San Francisco, CA","[-122.514926, 37.708075, -122.357031, 37.833238]",Etats-Unis,San Francisco,2020-12-20
1340491659306545152,@realDonaldTrump @DNI_Ratcliffe @SecPompeo Mr. President we don’t deserve you but I am so thankful we have you. If this election is not fixed we the people have spoken and a new party will erupt. #PatriotParty https://t.co/5N7sC6l6pF,382325674,angiecscc,2011-09-29T21:40:32.000Z,"Ohio, USA",Angela,"Praise God, Love people, preach the truth. Jesus Christ",3df0e3eb1e91170b,US,city,"Columbus, OH","[-83.200169, 39.832013, -82.7713751, 40.157354]",Etats-Unis,Columbus,2020-12-20
1340491627136249856,"@atensnut Is this for real? If so, she needs to go to jail! This wasn’t just against Donald https://t.co/XcVJ7TVbfB’s against every hard working American in GA that had a right to vote for their choice. She stole my vote.",2149563585,swhazelwood,2013-10-23T13:55:59.000Z,,SMWHaz,,7142eb97ae21e839,US,admin,"Georgia, USA","[-85.605166, 30.355644, -80.742567, 35.000771]",Etats-Unis,Georgia,2020-12-20
1340491626767114242,"@ldebeck111 @BringBackPapa @GabeGuidarini There is 0 evidence of any fraud, the trump campaign isn't even arguing fraud in court",1172317169557749760,watson2203,2019-09-13T01:13:01.000Z,DMV,big bags of soup,"from Virginia, former Republican, Master's of homeland security, BA criminal justice #BLM #Blacklivesmatter",4ee7712e521a7387,US,city,"Fredericksburg, VA","[-77.5193868, 38.270129, -77.447189, 38.3260007]",Etats-Unis,Fredericksburg,2020-12-20
1340491623134720002,"@ggreenwald You seem to forget the US withdrawal from Syria which allowed Russia’s ability to move in country and take over our former bases, putting our allies, the Kurds, into a very bad position. 

He refused to acknowledge RU’s involvement in the 2016 election and now the cyber hack.",763498399068925952,BitterDickery,2016-08-10T22:12:58.000Z,"Long Beach, CA",BitterDickery ™ Get Vaccinated!,🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦Married to @clevergalCA #Friendofthepod No DMs,01c060cf466c6ce3,US,city,"Long Beach, CA","[-118.250227, 33.732905, -118.0631938, 33.885438]",Etats-Unis,Long Beach,2020-12-20
1340491476439064577,"Donald Trump is a traitor
#LockTrumpUp",867532477,BronxSaint,2012-10-08T06:35:37.000Z,Just look at my handle,TRIPLE VAXXED BORI 🇵🇷,“Contemplation is better than praying”- Krishna INSTAGRAM: kidrob0t #LGM,002e24c6736f069d,US,city,"Bronx, NY","[-73.933612, 40.785365, -73.765271, 40.91533]",Etats-Unis,Bronx,2020-12-20
1340491468180496384,"@HlaoRoo @LVNancy @RepSwalwell @pinkk9lover @ROCKONOHIO @VFL2013 @CB618444 @megdogwuff @HLAurora63 @RealBasedMAGA @MazurikL @skb_sara @SandraSentinel @realDonaldTrump How so. Where is your evidence? Not what CNN or the other liberal media tells you, but the truth. There is no evidence of Trump being treasonus. But you like others eill do exactly what Russia and China want you to Do, focus on the wrong country. Biden is already owned by China.",171368848,Pam_Bond_,2010-07-27T05:21:12.000Z,"Texas, USA",Pamela Bond,"Christian, wife, mother, grandmother, daughter, dreamer. It never hurts to dream. Trump supporter. MAGA. Drain the swamp.",e0060cda70f5f341,US,admin,"Texas, USA","[-106.645646, 25.837092, -93.508131, 36.500695]",Etats-Unis,Texas,2020-12-20
